task_id,title,label,status,priority,estimated_hours,created_at
548a2c6ff25f4605af0df0ae3e228d6e,Integrate to Implement module access database project system for to API layout to Implement payment migration reporting tests,enhancement,in-progress,high,51,29/03/2023
c005a04346784ee8aa20835fabe9bf2d,Frontend SQL access API to recent for theme theme documentation reporting on endpoints,documentation,todo,low,77,16/11/2023
57249a9d8fbb45c68b1d75aad93a9469,Project SQL switching theme fix documentation module theme for add SQL theme fix recent fix to implement endpoints Implement system switching changes theme update,documentation,in-progress,low,74,17/06/2024
cd41276fe4e04bbc95b3a8541642e0fb,Devices gateway implement update queries migration support authentication role-based theme for,documentation,in-progress,low,43,14/06/2025
e92936f7cb3643c0873447247b7853ac,To tests reflect devices user for on to integrate recent SQL reporting integrate add migration endpoints implement mobile,bug,in-progress,high,23,01/05/2024
996db17c97ff49d396da642e342ff37f,Control support payment tests access reporting migration documentation support devices support refactor Implement role-based,documentation,canceled,low,4,26/09/2023
1bc3cf1993c4496c9755175f4cdcac17,Refactor layout SQL queries endpoints refactor to frontend frontend switching recent optimize to for module payment components fix switching gateway refactor for tests,documentation,in-progress,medium,30,09/01/2025
304ac8d52c7b4b61a2805a02821769ba,Fix fix gateway frontend mobile unit authentication tests system control add system,documentation,todo,medium,48,04/07/2024
30d2fb610a8f49fbbeb0a2bc8152da22,Tests layout unit system layout implement frontend fix to optimize optimize components components to refactor module frontend fix authentication unit role-based migration,documentation,todo,medium,92,12/08/2024
9795f3aa889345debd5393bc69ffbdbf,Switching frontend module switching system user reporting project unit changes mobile for project endpoints for queries endpoints for,feature,done,medium,44,20/03/2025
81195d23113a4025aaaceb230bd979a4,System system SQL reporting reflect optimize to gateway issues fix add reporting recent components optimize components,bug,done,high,5,15/07/2024
789a584daa55421da6581b46b95f6c76,Project support layout payment queries optimize add support switching control on database module Implement role-based project layout tests mobile changes components on gateway authentication,feature,canceled,high,20,31/01/2024
cea97c5e35544f2ab581d1ba755d34c6,Implement queries optimize documentation endpoints project to unit SQL to Implement devices unit to layout frontend changes API migration add frontend changes for support database,bug,canceled,high,100,19/01/2025
6c7940f5d054436aa212a952807246dd,Theme issues frontend fix devices add optimize API integrate role-based queries for access role-based,feature,done,medium,65,05/07/2025
9af0e806d4da48acac2f058961c19a5f,Components optimize layout documentation integrate refactor payment add documentation SQL reporting documentation user authentication layout implement mobile gateway theme,bug,canceled,medium,84,13/12/2024
06b561cde2164af79c6aec825d41c748,Frontend for fix fix database add control Implement Implement devices control to database devices for update recent layout authentication SQL refactor fix control to tests components database to API migration,feature,canceled,medium,72,24/11/2024
157b0b760ccf4fe5aff5af97ae673efb,Changes SQL user authentication tests module Implement API for queries,bug,done,low,66,18/03/2023
7a53c1f477164fcea7e725fb31b1bcd1,Migration documentation for reflect mobile module project layout to on refactor support to control frontend optimize switching devices,documentation,done,high,80,03/01/2024
4a80d6b0e315440b8c0c1355a0281b48,SQL endpoints refactor project on SQL recent devices implement Implement for access changes issues reporting user authentication queries issues payment access module,documentation,canceled,medium,36,25/07/2024
45651c5221c34c5786e61289e0af31ff,Mobile frontend components API optimize changes mobile system endpoints payment,bug,todo,low,87,15/05/2023
cd40d987b8d64f0294ee1c8a1b5fa182,Devices user payment module project payment role-based tests user fix project support documentation user,bug,done,medium,5,12/03/2025
4efa71b12d944ba78587a52b9b7b38cc,Reporting devices refactor frontend mobile add reporting reflect authentication for refactor layout documentation gateway Implement documentation endpoints theme reporting,documentation,in-progress,low,5,13/07/2023
ffa4ca767bd242f58558e68070126ffd,Components implement migration for changes frontend theme tests changes module support layout components to SQL unit to recent mobile migration switching reflect add,enhancement,canceled,low,45,23/11/2023
2fe9399156c54a848ce5529f27c6432a,Update integrate for devices tests frontend role-based Implement migration optimize frontend database database,enhancement,in-progress,low,82,18/06/2024
4b78faa6a7254dcab5434f01962df63f,Recent database mobile frontend to devices control gateway user for unit implement reporting components recent to for,feature,done,medium,21,25/10/2023
d693dcf0976a437792fb3bd368d89cf8,Database payment fix issues access frontend reporting documentation reflect optimize changes Implement issues,bug,in-progress,medium,30,01/03/2024
7fd69b8a63b9426aab229979ea3b4a41,Add role-based SQL for gateway tests to for implement implement project for unit optimize Implement to Implement queries devices control database database authentication components switching theme authentication,bug,done,low,72,15/09/2023
66a40b35b1f04b4e96f3539409055ba4,API refactor reporting issues unit devices optimize user update reporting payment recent reflect API documentation gateway update endpoints recent mobile mobile integrate database project documentation switching to module migration,bug,todo,high,19,29/09/2023
ee39543876b440b5bb82cd085a18aed6,Implement implement layout authentication for for switching module mobile to module add module add role-based for SQL endpoints,enhancement,in-progress,high,78,13/06/2023
2d18ef4b7fb9419492642bc6cbdd21da,For fix add frontend role-based Implement unit API recent switching add tests reporting issues Implement reflect queries gateway SQL optimize for for,bug,done,low,78,20/10/2024
badaf3c4858f4f85885a94ac6e1606ee,Changes optimize devices API for Implement optimize database module components support tests components tests for module database,documentation,done,low,94,03/08/2025
806944b2d06d4e40a5df504d59f17d28,API mobile module migration database access issues refactor documentation refactor gateway user endpoints fix components role-based project Implement database layout API components switching add,feature,canceled,high,4,19/12/2023
21c223a0fa18400a936e6ab165811d4b,Authentication reflect reflect documentation to control optimize fix control gateway database optimize update switching issues integrate API devices for layout unit update for,bug,todo,medium,87,09/01/2023
54481c01527b44a294e616d6296ec68b,For refactor reflect optimize database optimize module refactor recent reflect issues migration SQL integrate API control user components recent gateway refactor,enhancement,in-progress,high,44,11/06/2023
2154a8607b10454393888cec52f06b33,Mobile refactor mobile payment components SQL frontend for payment tests reporting implement database refactor,bug,in-progress,low,22,23/07/2024
9c8e7bc29b444a6e8a52c0a83dec6aac,Payment role-based support implement for for integrate tests refactor authentication switching SQL database changes reporting layout layout API tests authentication,documentation,done,medium,40,08/03/2024
f323890d148640acabd8f4035a4032d8,Endpoints recent fix support recent theme integrate gateway queries queries to documentation for devices changes access recent to endpoints user for SQL queries for,bug,done,medium,94,30/10/2023
